,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
11112,Used,2.5 GHz,No,,,6.5,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,7.5 GiB,Moderate,4,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 32 SSD,,Shared,,,,BoxUsage:m3.large,2,,Compute Instance,2Y6EVK4CR7GZUMHR
11124,Used,,Yes,,,38,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,10 Gigabit,16,SUSE,RunInstances:000g,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 300 NVMe SSD,,Host,,,,HostBoxUsage:r5d.2xlarge,8,,Compute Instance,B7CJEXFPETF3D6JE
11125,Used,2.6 GHz,No,,,26,,,,,1,,,,,,,,,,,,,,,,,,GPU instance,g2.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,16,Windows,RunInstances:0006,,Intel Xeon E5-2670 (Sandy Bridge),SQL Std,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 60 SSD,,Dedicated,,,,DedicatedUsage:g2.2xlarge,8,,Compute Instance,SMTM4XWYH27FGA26
11128,Used,,Yes,,,71,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,32,SUSE,RunInstances:000g,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 300 NVMe SSD,,Host,,,,HostBoxUsage:r5d.4xlarge,16,,Compute Instance,FMMZAP4SWYY935WQ
11134,Used,2.9 GHz,Yes,2000 Mbps,,62,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30 GiB,High,32,Windows,RunInstances:0202,,Intel Xeon E5-2666 v3 (Haswell),SQL Web,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:c4.4xlarge,16,,Compute Instance,JRFGUQ324DZG472D
11141,Used,2.5 GHz,Yes,12000 Mbps,,345,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,192,Linux,RunInstances:0200,,Intel Xeon Platinum 8175,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 900 NVMe SSD,,Dedicated,,,,DedicatedUsage:m5d.24xlarge,96,,Compute Instance,5RSQZC8QN25VYG2R
11143,Used,3.0 Ghz,Yes,9000 Mbps,,281,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.18xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,144 GiB,25 Gigabit,144,SUSE,RunInstances:000g,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1800 NVMe SSD,,Dedicated,,,,DedicatedUsage:c5d.18xlarge,72,,Compute Instance,FBUHG5YU5V4G9EPQ
11152,Used,2.4 GHz,Yes,2000 Mbps,,53.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,High,32,RHEL,RunInstances:0010,,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m4.4xlarge,16,,Compute Instance,QNBV9PBG5RAKHKFW
11158,Used,2.3 GHz,Yes,1600 Mbps,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0004,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r4.2xlarge,8,,Compute Instance,QGXFYNWDGE8JV8S9
11160,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0100,,Intel Xeon Platinum 8124M,SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 200 NVMe SSD,,Dedicated,,,,DedicatedUsage:c5d.2xlarge,8,,Compute Instance,2CE2DRUW777A6276
11173,Used,2.5 GHz,Yes,Upto 2120 Mbps,,16,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0800,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.xlarge,4,,Compute Instance,8AW2DYRV3M9N5RRZ
11191,Used,2.3 GHz,Yes,1600 Mbps,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0202,,Intel Xeon E5-2686 v4 (Broadwell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 2000 HDD,,Host,,,,HostBoxUsage:h1.2xlarge,8,,Compute Instance,XJGSADXZM25RGHP2
11199,NA,3.0 Ghz,Yes,9000 Mbps,,281,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.18xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,144 GiB,25 Gigabit,144,Linux,Hourly,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1800 NVMe SSD,,NA,,,,EBSOptimized:c5d.18xlarge,72,,Compute Instance,PFQSWMFVSJJ88EKY
11202,Used,2.9 GHz,Yes,1000 Mbps,,31,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,16,Linux,RunInstances:0100,,Intel Xeon E5-2666 v3 (Haswell),SQL Ent,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:c4.2xlarge,8,,Compute Instance,JN9BCPJPY9PWXZQJ
11204,Used,,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Moderate,8,Windows,RunInstances:0006,,Intel Skylake E5 2686 v5 (2.5 GHz),SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t3.xlarge,4,,Compute Instance,VSC2D5BJH9NND4FK
11205,Used,2.3 GHz,Yes,6000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Windows,RunInstances:0006,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r4.8xlarge,32,,Compute Instance,J29VH4DHMCPGPWS6
11212,Used,2.5 GHz,Yes,2120 Mbps,,60,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.4xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,64 GiB,Up to 10 Gigabit,32,Windows,RunInstances:0800,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,2 x 300 NVMe SSD,,Host,,,,HostBoxUsage:m5d.4xlarge,16,,Compute Instance,BEX3TYEEMWNYC7SP
11214,Used,2.3 GHz,Yes,,,188,,Yes,,,16,,,,,,,,,,,,,,,,,,GPU instance,p2.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,768 GiB,20 Gigabit,128,Linux,RunInstances,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:p2.16xlarge,64,,Compute Instance,XVDMNM2WMYBYVW3T
11241,Used,2.5 GHz,No,,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,High,32,Linux,RunInstances:0004,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Std,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,4 x 800 SSD,,Dedicated,,,,DedicatedUsage:i2.4xlarge,16,,Compute Instance,74QFH8Q597DU4SUM
11254,Used,2.5 GHz,No,,,104,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 320 SSD,,Dedicated,,,,DedicatedUsage:r3.8xlarge,32,,Compute Instance,VDQX9KJN5DYBTUQJ
11267,Used,2.3 GHz,Yes,,,174.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,976 GiB,High,128,Linux,RunInstances,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1920 SSD,,Host,,,,HostBoxUsage:x1.16xlarge,64,,Compute Instance,EQGP4KYME9PWXUCS
11286,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0202,,Intel Xeon Platinum 8124M,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 200 NVMe SSD,,Shared,,,,BoxUsage:c5d.2xlarge,8,,Compute Instance,HNTJ4JXM8TM23FSE
11291,Used,2.3 GHz,Yes,7000 Mbps,,179,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",10 Gigabit,128,Windows,RunInstances:0006,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1920 SSD,,Host,,,,HostBoxUsage:x1e.16xlarge,64,,Compute Instance,565K5EPDPPX9K6TV
11301,Used,2.5 GHz,No,,,6.5,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,7.5 GiB,Moderate,4,Linux,RunInstances:0200,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 32 SSD,,Shared,,,,BoxUsage:m3.large,2,,Compute Instance,GJQGYZH949F4JYUT
11308,Used,2.5 GHz,No,,,13,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Windows,RunInstances:0800,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 80 SSD,,Shared,,,,BoxUsage:r3.xlarge,4,,Compute Instance,8B7CXDY69FGHQH62
11319,Used,,Yes,,,38,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,10 Gigabit,16,Windows,RunInstances:0102,,Intel Xeon Platinum 8175,SQL Ent,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 300 NVMe SSD,,Dedicated,,,,DedicatedUsage:r5d.2xlarge,8,,Compute Instance,8Y8X44HTY9P7DT9Z
11329,Used,2.5 GHz,No,,,104,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,RHEL,RunInstances:0010,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,8 x 800 SSD,,Host,,,,HostBoxUsage:i2.8xlarge,32,,Compute Instance,T5BZ33K73P9U93J6
11335,Used,2.5 GHz,No,,,3,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.medium,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,2,Windows,RunInstances:0800,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 4 SSD,,Dedicated,,,,DedicatedUsage:m3.medium,1,,Compute Instance,RH7Y6HVXZXB4UY8U
11355,Used,,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,10 Gigabit,4,Linux,RunInstances:0004,,Intel Xeon Platinum 8175,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 75 NVMe SSD,,Dedicated,,,,DedicatedUsage:r5d.large,2,,Compute Instance,37GCT4XM8HWNDRD4
11361,Used,2.3 GHz,Yes,1600 Mbps,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0202,,Intel Xeon E5-2686 v4 (Broadwell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 2000 HDD,,Dedicated,,,,DedicatedUsage:h1.2xlarge,8,,Compute Instance,NKHJEX3UFKMK2CJC
11368,Used,2.4 GHz,Yes,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,d2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,RHEL,RunInstances:0010,,Intel Xeon E5-2676v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,3 x 2000 HDD,,Host,,,,HostBoxUsage:d2.xlarge,4,,Compute Instance,CG5KRXYBD8PDWRA7
11383,Used,2.8 GHz,No,,,55,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30 GiB,High,32,Linux,RunInstances:0004,,Intel Xeon E5-2680 v2 (Ivy Bridge),SQL Std,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 160 SSD,,Dedicated,,,,DedicatedUsage:c3.4xlarge,16,,Compute Instance,BCKVHH6Y9YKHUXE6
11387,Used,2.3 GHz,Yes,6000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Linux,RunInstances:0004,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r4.8xlarge,32,,Compute Instance,QPEZT7MWQZ352KU9
11392,Used,2.5 GHz,Yes,Upto 2120 Mbps,,31,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0200,,Intel Xeon Platinum 8175,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.2xlarge,8,,Compute Instance,4YPYDTBCB66SDWSV
11393,Used,,Yes,,,38,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,10 Gigabit,16,Windows,RunInstances:0202,,Intel Xeon Platinum 8175,SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.2xlarge,8,,Compute Instance,26EYD7DKJ8Q6HD9E
11398,Used,3.0 Ghz,Yes,9000 Mbps,,281,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.18xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,144 GiB,25 Gigabit,144,Windows,RunInstances:0102,,Intel Xeon Platinum 8124M,SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1800 NVMe SSD,,Shared,,,,BoxUsage:c5d.18xlarge,72,,Compute Instance,FEBFJW4P3FUQBHDN
11424,Used,,Yes,,,271,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,96,Windows,RunInstances:0002,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 900 NVMe SSD,,Dedicated,,,,DedicatedUsage:z1d.12xlarge,48,,Compute Instance,3CDGS9DAHVQB3HV8
11463,Used,2.5 GHz,No,,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Linux,RunInstances:0004,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Std,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 800 SSD,,Shared,,,,BoxUsage:i2.2xlarge,8,,Compute Instance,32ABSDAZRB8YBE9D
11482,Used,,Yes,,,173,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,10 Gigabit,96,Windows,RunInstances:0202,,Intel Xeon Platinum 8175,SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r5.12xlarge,48,,Compute Instance,XG93ASCVXDEHRGPB
11484,Used,2.4 GHz,Yes,2000 Mbps,,53.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,High,32,Windows,RunInstances:0202,,Intel Xeon E5-2676 v3 (Haswell),SQL Web,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m4.4xlarge,16,,Compute Instance,DN4D2SAMCUHNKK2B
11485,Used,2.3 GHz,Yes,14000 Mbps,,200,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,Linux,RunInstances:0200,,Intel Xeon E5-2686 v4 (Broadwell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,8 x 1900 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.16xlarge,64,,Compute Instance,5VX27ZM4CC99VMDY
11489,Used,2.5 GHz,Yes,Upto 2120 Mbps,,16,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0006,,Intel Xeon Platinum 8175,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Shared,,,,BoxUsage:m5d.xlarge,4,,Compute Instance,TSREBBF7A4UU8DPV
11507,Used,2.4 GHz,Yes,4000 Mbps,,124.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.10xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,160 GiB,10 Gigabit,80,SUSE,RunInstances:000g,,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:m4.10xlarge,40,,Compute Instance,K28HPP98RVTNWAAD
11522,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,9,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,4 GiB,Up to 10 Gigabit,4,Windows,RunInstances:0006,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:c5.large,2,,Compute Instance,5S2R8NPMY3DY32FC
11525,Used,2.5 GHz,Yes,2120 Mbps,,60,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,Up to 10 Gigabit,32,Linux,RunInstances,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.4xlarge,16,,Compute Instance,DW64VZC89TS9M2P2
11556,Used,2.3 GHz,Yes,12000 Mbps,,195,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,Windows,RunInstances:0006,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r4.16xlarge,64,,Compute Instance,Z5UJJBU6GS6N6Y27
11563,Used,2.8 GHz,No,,,28,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,16,Linux,RunInstances,,Intel Xeon E5-2680 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 80 SSD,,Shared,,,,BoxUsage:c3.2xlarge,8,,Compute Instance,ZA47RH8PF27SDZKP
11568,Used,2.4 GHz,Yes,4000 Mbps,,124.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.10xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,160 GiB,10 Gigabit,80,Windows,RunInstances:0202,,Intel Xeon E5-2676 v3 (Haswell),SQL Web,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m4.10xlarge,40,,Compute Instance,9S3T4JTQ45TQKNTE
11569,Used,2.3 GHz,Yes,7000 Mbps,,179,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",10 Gigabit,128,Linux,RunInstances,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1e.16xlarge,64,,Compute Instance,ZQQM88TCYA932EPG
11570,Used,Up to 3.0 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Moderate,8,Linux,RunInstances:0200,,Intel Xeon Family,SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.xlarge,4,,Compute Instance,KPAZ9UWXKMYK6K6A
11583,NA,2.3 GHz,Yes,6000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,64,Linux,Hourly,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 2000 HDD,,NA,,,,EBSOptimized:h1.8xlarge,32,,Compute Instance,AWWPGWVVGPUVHP4R
